set,filepath,true_label,pred_label,confidence,is_correct
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (11)_.jpg_segmented_object_2.jpg,Organic,Organic,1.0,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (112)_.jpg_segmented_object_3.jpg,Organic,Organic,1.0,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (87)_.jpg_segmented_object_11.jpg,Organic,Organic,1.0,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (188)_.jpg_segmented_object_1.jpg,Organic,Organic,0.99999976,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (172)_.jpg_segmented_object_4.jpg,Organic,Organic,0.9999994,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (6)_.jpeg_segmented_object_1.jpg,Organic,Organic,0.9999993,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Organic\030_Potted plant\#030τ¢åµá╜\Potted plants (167)_.jpg_segmented_object_3.jpg,Organic,Organic,0.9999993,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Ceramic\014_Ceramic\#014τô╖σÖ¿\porcelain (51)_segmented_object_14.jpg,Ceramic,Ceramic,0.99999917,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Ceramic\014_Ceramic\#014τô╖σÖ¿\porcelain (258)_segmented_object_1.jpg,Ceramic,Ceramic,0.9999989,True
high_confidence_correct,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Ceramic\014_Ceramic\#014τô╖σÖ¿\porcelain (241)_segmented_object_7.jpg,Ceramic,Ceramic,0.99999857,True
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Paper\005_Paper drink cup\#005τ┤ÖΘú▓µûÖµ¥»\papercup (360)_segmented_object_2.jpg,Paper,Mixed,0.9973828,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Mixed\040_Diaper\#040τ┤Öσ░┐σ╕â\Paper diapers (230)_.jpg_segmented_object_2.jpg,Mixed,Textile,0.9951315,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Mixed\003_Safety helmet\#003σ«ëσà¿σ╕╜\safehat (259)_segmented_object_1.jpg,Mixed,Ceramic,0.99307257,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Mixed\040_Diaper\#040τ┤Öσ░┐σ╕â\Paper diapers (120)_.jpg_segmented_object_1.jpg,Mixed,Textile,0.99124485,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Plastic\002_Dirty plastic bag\#002Θ½ÆΘ½ÆσíæΦåáΦóï\dirtybag (147)_segmented_object_2.jpg,Plastic,Mixed,0.988293,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Styrofoam\006_Styrofoam drink cup\#006Σ┐¥Θ║ùΘ╛ìΘú▓µûÖµ¥»\policup (90).jpg,Styrofoam,Plastic,0.98648703,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Plastic\004_Plastic drink cup\#004σíæΦåáΘú▓µûÖµ¥»\plaste_cup (246)_segmented_object_1.jpg,Plastic,Paper,0.9793386,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Plastic\019_Online shopping damaged bag\#019τ╢▓Φ│╝τá┤σú₧Φóï\sabotage bag (222)_.jpg_segmented_object_1.jpg,Plastic,Paper,0.97127694,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Plastic\002_Dirty plastic bag\#002Θ½ÆΘ½ÆσíæΦåáΦóï\dirtybag (1)_segmented_object_3.jpg,Plastic,Rubber,0.96859866,False
high_confidence_wrong,C:\Users\saifa\Desktop\Studies\F20PA - Research Methods and Requirements Engineering\Classification of Recyclable Waste Using Machine Learning\data\raw\rethink_recycle\Plastic\019_Online shopping damaged bag\#019τ╢▓Φ│╝τá┤σú₧Φóï\sabotage bag (141)_.jpg_segmented_object_1.jpg,Plastic,Mixed,0.9681257,False
